id,created,modified,title,pik_id,user_id,position,is_initial,old_id,is_deleted,platform,next_obj,previous_obj,memo,is_default
1048,2019-07-03 06:21:24.874 +0900,2019-07-03 06:21:24.874 +0900,Code,335,349,1,False,,False,,1047,0,,False
1047,2019-07-03 06:21:22.496 +0900,2019-07-03 06:21:22.496 +0900,Theory,335,349,1,False,,False,,1046,1048,,False
1050,2019-07-03 06:48:29.210 +0900,2019-07-03 06:48:29.211 +0900,pdf,336,349,1,False,,False,,1049,0,,False
1049,2019-07-03 06:48:23.623 +0900,2020-03-05 10:20:03.895 +0900,General,336,349,1,True,,False,,0,1050,,False
1065,2019-07-08 08:48:12.204 +0900,2019-07-08 08:48:12.205 +0900,Probability,337,349,1,False,,False,,1061,1244,,False
1061,2019-07-05 08:17:25.977 +0900,2020-03-05 10:20:03.901 +0900,General,337,349,1,True,,False,,1059,1065,,False
1059,2019-07-05 00:20:29.666 +0900,2019-07-05 00:20:29.666 +0900,Prior Knowledge,337,349,1,False,,False,,1054,1061,,False
1054,2019-07-03 14:50:03.082 +0900,2019-07-03 14:50:03.083 +0900,Terminology,337,349,1,False,,False,,1053,1059,,False
1053,2019-07-03 13:13:17.133 +0900,2019-07-03 15:23:46.357 +0900,Background Theories,337,349,1,False,,False,,1052,1054,,False
1052,2019-07-03 12:59:32.329 +0900,2019-07-03 12:59:32.329 +0900,Loss function,337,349,1,False,,False,,1051,1053,,False
14689,2021-09-25 15:23:12.638 +0900,2021-09-25 15:23:12.638 +0900,경영 마케팅 관련 자격증,6625,3108,-1,False,,False,web,14683,14691,,False
10027,2021-08-24 16:19:52.807 +0900,2021-08-24 16:22:49.330 +0900,작곡,5163,2891,-1,False,,True,,-1,-1,,False
1051,2019-07-03 12:59:26.843 +0900,2019-07-04 00:15:31.553 +0900,Lecture Notes,337,349,1,False,,False,,0,1052,,False
63,2019-02-21 04:43:43.227 +0900,2019-02-21 04:43:43.227 +0900,Theme & Motif,21,20,1,False,,False,,62,817,,False
62,2019-02-21 04:43:33.738 +0900,2019-02-21 04:43:33.739 +0900,Slogan,21,20,1,False,,False,,61,63,,False
61,2019-02-21 04:43:27.783 +0900,2019-02-21 04:43:27.783 +0900,Brand Identity,21,20,1,False,,False,,60,62,,False
68,2019-02-21 06:05:33.432 +0900,2019-02-21 06:05:33.433 +0900,Survey Engagement,22,20,1,False,,False,,67,0,,False
67,2019-02-21 06:04:51.777 +0900,2019-02-21 06:04:51.777 +0900,Survey Length,22,20,1,False,,False,,66,68,,False
66,2019-02-21 06:01:55.653 +0900,2019-02-21 06:01:55.654 +0900,Research Methods,22,20,1,False,,False,,65,67,,False
65,2019-02-21 06:00:54.953 +0900,2019-02-21 06:00:54.953 +0900,Survey Tools,22,20,1,False,,False,,64,66,,False
76,2019-02-21 06:19:19.710 +0900,2019-02-21 06:19:19.710 +0900,B2B vs. B2C Sites,23,20,1,False,,False,,75,297,,False
75,2019-02-21 06:18:22.445 +0900,2019-02-21 06:18:22.445 +0900,Homepage & Landing page Differences,23,20,1,False,,False,,74,76,,False
74,2019-02-21 06:17:16.216 +0900,2019-02-21 06:17:16.216 +0900,Landing Pages Goals,23,20,1,False,,False,,73,75,,False
73,2019-02-21 06:16:24.476 +0900,2019-02-21 06:16:24.476 +0900,Landing Pages Examples,23,20,1,False,,False,,72,74,,False
72,2019-02-21 06:15:20.619 +0900,2019-02-21 06:15:20.620 +0900,Prelaunch Landing Page Examples,23,20,1,False,,False,,71,73,,False
71,2019-02-21 06:12:01.390 +0900,2019-02-21 06:12:10.617 +0900,Landing Page Types,23,20,1,False,,False,,70,72,,False
70,2019-02-21 06:08:46.648 +0900,2019-02-21 06:09:08.553 +0900,Landing Page Elements,23,20,1,False,,False,,69,71,,False
121,2019-02-26 07:22:42.366 +0900,2019-02-26 07:22:42.367 +0900,Enter,24,19,1,False,,False,,82,0,,False
82,2019-02-21 06:44:08.470 +0900,2019-02-21 06:44:08.470 +0900,Best SetUp,24,20,1,False,,False,,81,121,,False
81,2019-02-21 06:41:18.528 +0900,2019-02-21 06:41:18.529 +0900,Best Gameplay & Videos,24,20,1,False,,False,,80,82,,False
80,2019-02-21 06:41:03.602 +0900,2019-02-21 06:41:03.602 +0900,Dv.a Section,24,36,1,False,,False,,79,81,,False
79,2019-02-21 06:38:30.609 +0900,2019-02-21 06:38:30.609 +0900,Tips & Tricks,24,20,1,False,,False,,78,80,,False
78,2019-02-21 06:36:39.040 +0900,2019-02-21 06:36:39.040 +0900,The Best Players,24,20,1,False,,False,,77,79,,False
77,2019-02-21 06:33:27.308 +0900,2019-02-21 06:33:49.457 +0900,Basics,24,20,1,False,,False,,0,78,,False
120,2019-02-26 04:04:34.661 +0900,2019-02-26 04:04:58.554 +0900,Leon,26,20,1,False,,False,,119,0,,False
119,2019-02-26 04:04:34.588 +0900,2019-02-26 04:04:52.614 +0900,Bull,26,20,1,False,,False,,116,120,,False
116,2019-02-26 04:04:25.906 +0900,2019-02-26 04:04:25.907 +0900,Ranking,26,20,1,False,,False,,115,119,,False
115,2019-02-26 03:44:35.478 +0900,2019-02-26 03:44:35.478 +0900,Crow,26,20,1,False,,False,,84,116,,False
90,2019-02-21 09:07:05.894 +0900,2019-02-21 09:07:05.894 +0900,Legal Issues,27,20,1,False,,False,,89,0,,False
89,2019-02-21 09:05:39.615 +0900,2019-02-21 09:05:39.615 +0900,Email Marketing Apps,27,20,1,False,,False,,88,90,,False
88,2019-02-21 09:03:52.254 +0900,2019-02-21 09:03:52.254 +0900,Email Samples,27,20,1,False,,False,,87,89,,False
87,2019-02-21 09:00:19.183 +0900,2019-02-21 09:00:19.183 +0900,Best Practices,27,20,1,False,,False,,86,88,,False
86,2019-02-21 08:55:06.281 +0900,2019-02-21 08:55:06.282 +0900,Pros & Cons,27,20,1,False,,False,,85,87,,False
85,2019-02-21 08:54:27.989 +0900,2019-02-21 08:54:45.209 +0900,What are Cold Emails?,27,20,1,False,,False,,0,86,,False
105,2019-02-21 12:22:29.712 +0900,2019-02-21 12:22:29.712 +0900,out of box design,28,19,1,False,,False,,96,0,,False
96,2019-02-21 09:15:35.971 +0900,2019-02-21 09:15:35.971 +0900,Online Business Card Services,28,20,1,False,,False,,95,105,,False
95,2019-02-21 09:14:27.036 +0900,2019-02-21 09:14:27.036 +0900,Business Card Etiquette,28,20,1,False,,False,,94,96,,False
94,2019-02-21 09:13:04.272 +0900,2019-02-21 09:13:04.273 +0900,Examples,28,20,1,False,,False,,93,95,,False
93,2019-02-21 09:12:00.300 +0900,2019-02-21 09:12:00.300 +0900,Guide To A Good Card,28,20,1,False,,False,,92,94,,False
92,2019-02-21 09:11:22.723 +0900,2019-02-21 09:11:22.723 +0900,Types of Business Cards,28,20,1,False,,False,,91,93,,False
101,2019-02-21 09:23:46.739 +0900,2019-02-21 09:23:46.739 +0900,Appraisal Companies & Sites,29,20,1,False,,False,,100,0,,False
100,2019-02-21 09:23:32.651 +0900,2019-02-21 09:23:32.651 +0900,Valuation Data,29,20,1,False,,False,,99,101,,False
99,2019-02-21 09:22:53.467 +0900,2019-02-21 09:22:53.467 +0900,Investor Valuation,29,20,1,False,,False,,98,100,,False
98,2019-02-21 09:22:16.112 +0900,2019-02-21 09:22:16.112 +0900,Self-Valuation,29,20,1,False,,False,,97,99,,False
97,2019-02-21 09:21:07.186 +0900,2019-02-21 09:21:20.435 +0900,409A Valuation,29,20,1,False,,False,,0,98,,False
108,2019-02-22 01:12:25.100 +0900,2019-02-22 01:13:38.792 +0900,Metrics,30,20,1,False,,False,,107,0,,False
107,2019-02-22 01:11:57.628 +0900,2019-02-22 01:11:57.629 +0900,Goals,30,20,1,False,,False,,106,108,,False
106,2019-02-22 01:11:15.682 +0900,2019-02-22 01:11:15.682 +0900,Platforms,30,20,1,False,,False,,104,107,,False
104,2019-02-21 10:07:42.183 +0900,2019-02-21 10:07:42.183 +0900,Startup Guide,30,20,1,False,,False,,103,106,,False
131,2019-02-26 23:25:25.340 +0900,2019-02-26 23:25:25.340 +0900,agbaulgluabgilhl3ihtai4,31,17,1,False,,False,,130,132,,False
130,2019-02-26 23:25:19.093 +0900,2019-02-26 23:25:19.094 +0900,rgeargnalkgnlaueglkuaw4bgklaubgkl,31,17,1,False,,False,,129,131,,False
129,2019-02-26 23:25:14.074 +0900,2019-02-26 23:25:14.075 +0900,flerhi4gorgeugfitoi7w4gtiugaeg,31,17,1,False,,False,,128,130,,False
128,2019-02-26 23:25:08.868 +0900,2019-02-26 23:25:08.869 +0900,arhraha4at64644646s747,31,17,1,False,,False,,127,129,,False
127,2019-02-26 23:25:03.806 +0900,2019-02-26 23:25:03.806 +0900,aherhfbfarhbaerharh,31,17,1,False,,False,,126,128,,False
126,2019-02-26 23:24:59.464 +0900,2019-02-26 23:24:59.464 +0900,harhrah5u5rhdhbarha,31,17,1,False,,False,,125,127,,False
111,2019-02-22 21:43:04.382 +0900,2019-02-22 21:43:04.382 +0900,termsheet,32,19,1,False,,False,,110,365,,False
112,2019-02-23 09:01:15.389 +0900,2019-02-23 09:03:00.329 +0900,영어사전,33,17,1,False,,False,,0,0,,False
137,2019-02-27 07:52:47.747 +0900,2019-02-27 07:52:47.748 +0900,MVP,37,20,1,False,,False,,136,0,,False
136,2019-02-27 07:52:13.965 +0900,2019-02-27 07:52:13.965 +0900,Business Model Canvas,37,20,1,False,,False,,135,137,,False
135,2019-02-27 07:51:12.204 +0900,2019-02-27 07:51:12.205 +0900,Business Plan,37,20,1,False,,False,,134,136,,False
134,2019-02-27 07:49:55.077 +0900,2019-02-27 07:49:55.077 +0900,Tips & Advice,37,20,1,False,,False,,133,135,,False
133,2019-02-27 07:45:53.602 +0900,2019-02-27 07:46:07.763 +0900,Guide,37,20,1,False,,False,,0,134,,False
142,2019-02-27 07:59:11.550 +0900,2019-02-27 07:59:11.551 +0900,Winter Only,38,38,1,False,,False,,141,0,,False
141,2019-02-27 07:58:49.293 +0900,2019-02-27 07:58:49.293 +0900,Sledding,38,38,1,False,,False,,140,142,,False
140,2019-02-27 07:58:13.716 +0900,2019-02-27 07:58:13.716 +0900,Ice Skating,38,38,1,False,,False,,139,141,,False
139,2019-02-27 07:56:39.193 +0900,2019-02-27 07:56:39.193 +0900,Ski Resorts,38,38,1,False,,False,,138,140,,False
138,2019-02-27 07:55:29.302 +0900,2019-02-27 07:55:36.512 +0900,Winter Guide,38,38,1,False,,False,,0,139,,False
1060,2019-07-05 08:08:18.529 +0900,2019-07-05 08:08:18.529 +0900,Etc,338,349,1,False,,False,,1056,0,,False
1056,2019-07-04 01:41:37.102 +0900,2019-07-04 01:41:37.102 +0900,Lecture Notes,338,349,1,False,,False,,1055,1060,,False
1055,2019-07-04 01:41:28.067 +0900,2020-03-05 10:20:03.897 +0900,General,338,349,1,True,,False,,0,1056,,False
1057,2019-07-04 09:00:08.712 +0900,2020-03-05 10:20:03.898 +0900,General,339,363,1,True,,False,,0,0,,False
1058,2019-07-04 09:03:05.007 +0900,2020-03-05 10:20:03.900 +0900,General,340,363,1,True,,False,,0,0,,False
1062,2019-07-05 08:55:02.079 +0900,2020-03-05 10:20:03.903 +0900,General,341,363,1,True,,False,,0,0,,False
1063,2019-07-07 23:22:33.460 +0900,2020-03-05 10:20:03.905 +0900,General,342,363,1,True,,False,,0,0,,False
1064,2019-07-07 23:25:50.747 +0900,2020-03-05 10:20:03.906 +0900,General,343,363,1,True,,False,,0,0,,False
14657,2021-09-25 11:50:39.661 +0900,2021-09-25 11:50:39.661 +0900,내가 사랑하는 제주 맛집,6626,3131,1,False,,False,web,14658,14659,,False
1067,2019-07-09 00:57:21.247 +0900,2019-07-09 00:57:21.247 +0900,cost matters,344,17,1,False,,False,,1066,0,,False
1066,2019-07-09 00:54:18.880 +0900,2020-03-05 10:20:03.908 +0900,General,344,17,1,True,,False,,0,1067,,False
1068,2019-07-09 08:41:06.522 +0900,2020-03-05 10:20:03.909 +0900,General,345,349,1,True,,False,,0,0,,False
1078,2019-07-11 13:08:45.312 +0900,2019-07-11 13:16:42.577 +0900,Growth Hacking,346,349,1,False,,False,,1077,0,,False
110,2019-02-22 21:35:17.870 +0900,2019-04-11 22:35:24.084 +0900,VC lists,32,19,1,False,,False,,0,111,,False
151,2019-02-27 08:13:32.323 +0900,2019-02-27 08:13:32.323 +0900,Competitions,39,38,1,False,,False,,150,0,,False
